,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KTXGLENR11,64.1,50.2,72,0.0,29.91,2020-03-01,194.61
1,2020-03-02,KTXGLENR11,64.0,48.2,77,0.0,29.78,2020-03-02,120.48
2,2020-03-03,KTXGLENR11,64.3,47.8,69,0.0,29.82,2020-03-03,115.47
3,2020-03-04,KTXGLENR11,54.1,46.4,90,0.0,30.1,2020-03-04,103.93
4,2020-03-05,KTXGLENR11,57.0,39.7,68,0.0,30.39,2020-03-05,151.89
5,2020-03-06,KTXGLENR11,54.0,24.6,47,0.0,30.54,2020-03-06,203.16
6,2020-03-07,KTXGLENR11,53.8,29.3,51,0.0,30.41,2020-03-07,258.12
7,2020-03-08,KTXGLENR11,58.0,38.1,76,0.0,30.25,2020-03-08,213.55
8,2020-03-09,KTXGLENR11,66.7,54.9,79,0.0,30.12,2020-03-09,215.09
9,2020-03-10,KTXGLENR11,65.8,49.6,81,0.0,30.22,2020-03-10,263.59
10,2020-03-11,KTXGLENR11,73.6,61.7,73,0.0,30.06,2020-03-11,274.83
11,2020-03-12,KTXGLENR11,74.0,63.1,74,0.0,29.81,2020-03-12,299.15
12,2020-03-13,KTXGLENR11,65.0,58.8,94,0.0,29.95,2020-03-13,218.78
13,2020-03-14,KTXGLENR11,63.9,54.3,92,0.0,30.2,2020-03-14,204.08
14,2020-03-15,KTXGLENR11,54.2,49.6,94,0.0,30.33,2020-03-15,163.2
15,2020-03-16,KTXGLENR11,60.0,53.2,93,0.0,30.29,2020-03-16,126.56
16,2020-03-17,KTXGLENR11,67.4,60.3,89,0.0,30.06,2020-03-17,116.47
17,2020-03-18,KTXGLENR11,71.7,63.7,84,0.5,29.96,2020-03-18,122.4
18,2020-03-19,KTXGLENR11,70.5,57.6,84,0.9,29.98,2020-03-19,104.31
19,2020-03-20,KTXGLENR11,53.2,38.7,83,0.0,30.4,2020-03-20,89.07
20,2020-03-21,KTXGLENR11,48.2,37.6,85,0.0,30.42,2020-03-21,82.76
21,2020-03-22,KTXGLENR11,56.5,51.1,95,0.0,30.16,2020-03-22,59.12
22,2020-03-23,KTXGLENR11,65.9,58.5,93,0.5,30.03,2020-03-23,75.29
23,2020-03-24,KTXGLENR11,73.4,36.0,59,4.4,29.85,2020-03-24,76.14
24,2020-03-25,KTXGLENR11,72.1,44.1,59,3.8,29.86,2020-03-25,81.99
25,2020-03-26,KTXGLENR11,74.8,63.0,76,0.0,29.77,2020-03-26,78.06
26,2020-03-27,KTXGLENR11,74.2,63.3,77,0.0,29.7,2020-03-27,86.91
27,2020-03-28,KTXGLENR11,69.2,29.5,53,0.0,29.95,2020-03-28,103.93
28,2020-03-29,KTXGLENR11,59.2,31.1,60,0.0,30.17,2020-03-29,96.38
29,2020-03-30,KTXGLENR11,59.0,52.5,88,0.0,30.06,2020-03-30,58.2
30,2020-03-31,KTXGLENR11,58.5,48.7,79,0.0,30.08,2020-03-31,82.68
31,2020-04-01,KTXGLENR11,61.3,48.4,73,0.0,30.0,2020-04-01,80.52
32,2020-04-02,KTXGLENR11,64.6,54.7,85,0.0,29.87,2020-04-02,73.52
33,2020-04-03,KTXGLENR11,52.3,38.3,92,0.0,30.1,2020-04-03,78.91
34,2020-04-04,KTXGLENR11,43.0,37.6,92,0.0,30.14,2020-04-04,57.81
35,2020-04-05,KTXGLENR11,53.8,44.2,92,0.0,30.11,2020-04-05,61.74
36,2020-04-06,KTXGLENR11,64.2,58.3,93,0.0,30.01,2020-04-06,72.44
37,2020-04-07,KTXGLENR11,75.6,64.6,76,1.5,29.91,2020-04-07,82.99
38,2020-04-08,KTXGLENR11,81.3,49.1,58,3.6,29.82,2020-04-08,77.29
39,2020-04-09,KTXGLENR11,69.8,50.5,68,0.0,29.94,2020-04-09,82.53
40,2020-04-10,KTXGLENR11,62.6,38.8,60,0.0,30.1,2020-04-10,99.77
41,2020-04-11,KTXGLENR11,64.5,50.5,84,0.0,29.93,2020-04-11,71.21
42,2020-04-12,KTXGLENR11,68.5,35.4,67,0.0,29.96,2020-04-12,76.91
