,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KTXHENDE23,63.9,52.3,86,4.7,30.17,2020-03-01,97.56
1,2020-03-02,KTXHENDE23,67.8,62.8,94,2.7,29.94,2020-03-02,106.19
2,2020-03-03,KTXHENDE23,67.1,61.8,96,0.5,29.96,2020-03-03,106.27
3,2020-03-04,KTXHENDE23,55.4,50.9,98,3.6,30.1,2020-03-04,96.31
4,2020-03-05,KTXHENDE23,58.8,32.8,67,1.9,30.4,2020-03-05,120.52
5,2020-03-06,KTXHENDE23,55.7,21.8,41,0.8,30.59,2020-03-06,157.11
6,2020-03-07,KTXHENDE23,52.5,24.6,50,0.7,30.55,2020-03-07,148.04
7,2020-03-08,KTXHENDE23,58.1,35.9,66,2.0,30.44,2020-03-08,109.22
8,2020-03-09,KTXHENDE23,62.6,54.5,95,2.6,30.32,2020-03-09,116.94
9,2020-03-10,KTXHENDE23,68.5,59.4,88,1.2,30.35,2020-03-10,118.19
10,2020-03-11,KTXHENDE23,71.3,61.6,84,3.9,30.21,2020-03-11,119.42
11,2020-03-12,KTXHENDE23,72.3,65.3,86,4.6,30.0,2020-03-12,135.65
12,2020-03-13,KTXHENDE23,71.4,62.1,85,2.0,30.18,2020-03-13,131.27
13,2020-03-14,KTXHENDE23,69.0,60.9,92,0.8,30.24,2020-03-14,127.0
14,2020-03-15,KTXHENDE23,59.7,50.8,96,1.4,30.4,2020-03-15,94.16
15,2020-03-16,KTXHENDE23,55.7,49.9,97,0.3,30.33,2020-03-16,103.49
16,2020-03-17,KTXHENDE23,65.2,54.9,94,0.8,30.24,2020-03-17,89.57
17,2020-03-18,KTXHENDE23,71.6,66.1,92,1.9,30.15,2020-03-18,95.78
18,2020-03-19,KTXHENDE23,73.4,68.2,90,2.3,30.11,2020-03-19,88.6
19,2020-03-20,KTXHENDE23,60.2,45.6,99,2.7,30.44,2020-03-20,95.73
20,2020-03-21,KTXHENDE23,49.6,42.9,97,0.5,30.47,2020-03-21,85.63
21,2020-03-22,KTXHENDE23,57.8,49.7,99,0.2,30.34,2020-03-22,60.86
