,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KTXLONGV80,63.6,48.7,81,0.8,29.97,2020-03-01,94.23
1,2020-03-02,KTXLONGV80,67.6,61.0,87,0.4,29.75,2020-03-02,111.39
2,2020-03-03,KTXLONGV80,65.9,56.1,93,0.2,29.78,2020-03-03,115.25
3,2020-03-04,KTXLONGV80,55.1,49.8,95,0.9,29.95,2020-03-04,107.98
4,2020-03-05,KTXLONGV80,58.4,29.3,65,0.6,30.24,2020-03-05,126.94
5,2020-03-06,KTXLONGV80,55.3,17.6,39,0.5,30.42,2020-03-06,153.23
6,2020-03-07,KTXLONGV80,51.8,21.2,50,0.2,30.38,2020-03-07,139.92
7,2020-03-08,KTXLONGV80,57.1,34.9,59,0.4,30.26,2020-03-08,92.82
8,2020-03-09,KTXLONGV80,62.5,52.7,90,0.4,30.12,2020-03-09,109.09
9,2020-03-10,KTXLONGV80,67.9,60.8,86,0.1,30.17,2020-03-10,119.3
10,2020-03-11,KTXLONGV80,70.8,61.5,82,0.5,30.03,2020-03-11,123.24
11,2020-03-12,KTXLONGV80,72.2,63.1,81,0.5,29.81,2020-03-12,122.3
12,2020-03-13,KTXLONGV80,66.9,56.7,88,0.5,30.02,2020-03-13,122.56
13,2020-03-14,KTXLONGV80,68.4,56.7,88,0.2,30.07,2020-03-14,108.03
14,2020-03-15,KTXLONGV80,56.3,49.3,92,0.5,30.25,2020-03-15,75.87
15,2020-03-16,KTXLONGV80,54.1,49.5,98,0.1,30.18,2020-03-16,94.98
16,2020-03-17,KTXLONGV80,63.9,54.7,91,0.1,30.07,2020-03-17,95.04
17,2020-03-18,KTXLONGV80,70.4,64.9,92,0.1,29.98,2020-03-18,92.81
18,2020-03-19,KTXLONGV80,72.7,66.4,87,0.3,29.94,2020-03-19,87.69
19,2020-03-20,KTXLONGV80,58.8,43.7,97,0.4,30.27,2020-03-20,92.04
20,2020-03-21,KTXLONGV80,50.5,42.1,92,0.3,30.31,2020-03-21,72.33
21,2020-03-22,KTXLONGV80,55.2,50.0,99,0.1,30.14,2020-03-22,50.69
22,2020-03-23,KTXLONGV80,61.5,56.8,97,0.1,30.02,2020-03-23,73.44
23,2020-03-24,KTXLONGV80,71.2,50.5,79,0.4,29.83,2020-03-24,77.02
24,2020-03-25,KTXLONGV80,68.6,50.7,71,0.2,29.84,2020-03-25,75.13
25,2020-03-26,KTXLONGV80,74.8,57.9,76,0.4,29.78,2020-03-26,77.55
26,2020-03-27,KTXLONGV80,76.7,61.0,76,0.4,29.7,2020-03-27,75.56
27,2020-03-28,KTXLONGV80,65.0,52.2,93,0.2,29.87,2020-03-28,52.91
28,2020-03-29,KTXLONGV80,60.0,43.9,77,0.1,30.09,2020-03-29,47.77
29,2020-03-30,KTXLONGV80,58.9,49.8,85,0.3,30.06,2020-03-30,62.62
30,2020-03-31,KTXLONGV80,57.2,49.8,87,0.6,29.93,2020-03-31,70.47
31,2020-04-01,KTXLONGV80,59.3,45.0,76,0.1,29.94,2020-04-01,72.51
32,2020-04-02,KTXLONGV80,63.4,50.7,79,0.2,29.92,2020-04-02,72.27
33,2020-04-03,KTXLONGV80,62.5,48.7,91,0.2,29.92,2020-04-03,75.14
34,2020-04-04,KTXLONGV80,49.8,45.1,96,0.4,29.97,2020-04-04,55.38
35,2020-04-05,KTXLONGV80,58.9,50.4,93,0.1,30.02,2020-04-05,44.38
36,2020-04-06,KTXLONGV80,67.5,59.9,88,0.0,29.96,2020-04-06,66.05
37,2020-04-07,KTXLONGV80,75.7,67.1,86,0.3,29.88,2020-04-07,69.01
38,2020-04-08,KTXLONGV80,78.2,69.1,86,0.3,29.78,2020-04-08,73.16
39,2020-04-09,KTXLONGV80,73.4,56.1,78,0.5,29.86,2020-04-09,75.74
40,2020-04-10,KTXLONGV80,63.7,38.7,55,0.4,30.04,2020-04-10,80.39
41,2020-04-11,KTXLONGV80,60.3,44.2,82,0.1,29.9,2020-04-11,58.88
42,2020-04-12,KTXLONGV80,68.7,46.0,89,0.6,29.75,2020-04-12,44.14
43,2020-04-13,KTXLONGV80,51.0,36.0,70,1.0,30.07,2020-04-13,81.89
44,2020-04-14,KTXLONGV80,52.7,34.5,64,0.6,30.16,2020-04-14,84.44
45,2020-04-15,KTXLONGV80,52.9,36.3,69,0.2,30.13,2020-04-15,89.77
46,2020-04-16,KTXLONGV80,58.8,39.6,62,0.3,30.11,2020-04-16,92.23
47,2020-04-17,KTXLONGV80,60.2,46.4,88,0.3,30.0,2020-04-17,93.81
48,2020-04-18,KTXLONGV80,57.3,45.1,84,0.3,30.02,2020-04-18,75.61
49,2020-04-19,KTXLONGV80,64.0,58.6,98,0.1,29.76,2020-04-19,50.1
50,2020-04-20,KTXLONGV80,66.5,60.3,87,0.1,29.86,2020-04-20,87.03
51,2020-04-21,KTXLONGV80,69.9,58.3,79,0.2,29.93,2020-04-21,86.67
52,2020-04-22,KTXLONGV80,68.4,59.2,93,0.1,29.84,2020-04-22,78.58
53,2020-04-23,KTXLONGV80,68.1,58.5,82,0.6,29.69,2020-04-23,93.44
54,2020-04-24,KTXLONGV80,68.9,56.3,81,0.3,29.99,2020-04-24,98.72
55,2020-04-25,KTXLONGV80,66.4,49.8,67,0.9,30.26,2020-04-25,88.87
56,2020-04-26,KTXLONGV80,66.4,45.9,66,0.2,30.37,2020-04-26,65.28
57,2020-04-27,KTXLONGV80,69.4,52.0,71,0.3,30.3,2020-04-27,91.43
58,2020-04-28,KTXLONGV80,71.8,59.0,88,0.3,30.19,2020-04-28,88.59
59,2020-04-29,KTXLONGV80,66.9,40.8,68,1.0,30.21,2020-04-29,98.73
60,2020-04-30,KTXLONGV80,65.4,46.4,65,0.3,30.26,2020-04-30,103.41
61,2020-05-01,KTXLONGV80,70.0,52.5,69,0.3,30.21,2020-05-01,118.81
62,2020-05-02,KTXLONGV80,73.9,60.3,75,0.4,30.2,2020-05-02,99.28
63,2020-05-03,KTXLONGV80,77.9,65.7,73,0.6,30.14,2020-05-03,76.01
64,2020-05-04,KTXLONGV80,77.8,66.6,76,0.4,30.07,2020-05-04,105.16
65,2020-05-05,KTXLONGV80,74.1,49.8,71,0.7,30.25,2020-05-05,108.81
66,2020-05-06,KTXLONGV80,69.0,46.6,57,0.4,30.34,2020-05-06,108.63
67,2020-05-07,KTXLONGV80,69.8,50.7,65,0.4,30.32,2020-05-07,114.52
68,2020-05-08,KTXLONGV80,68.8,53.4,77,1.1,30.35,2020-05-08,126.48
69,2020-05-09,KTXLONGV80,62.4,49.3,70,0.3,30.44,2020-05-09,122.08
70,2020-05-10,KTXLONGV80,63.8,48.2,71,0.2,30.47,2020-05-10,78.82
71,2020-05-11,KTXLONGV80,67.9,46.0,64,0.3,30.48,2020-05-11,78.82
72,2020-05-12,KTXLONGV80,69.8,55.9,79,0.2,30.27,2020-05-12,78.82
73,2020-05-13,KTXLONGV80,74.9,66.2,81,0.2,30.2,2020-05-13,126.82
74,2020-05-14,KTXLONGV80,77.5,67.5,81,0.3,30.19,2020-05-14,123.35
75,2020-05-15,KTXLONGV80,75.6,65.8,86,0.2,30.11,2020-05-15,139.43
76,2020-05-16,KTXLONGV80,70.9,66.2,96,0.2,30.04,2020-05-16,111.95
77,2020-05-17,KTXLONGV80,72.4,60.4,82,0.9,30.09,2020-05-17,91.53
78,2020-05-18,KTXLONGV80,74.1,56.7,68,0.3,30.15,2020-05-18,127.88
79,2020-05-19,KTXLONGV80,77.0,62.2,74,0.4,30.08,2020-05-19,135.85
80,2020-05-20,KTXLONGV80,71.4,60.8,77,0.2,30.1,2020-05-20,132.68
81,2020-05-21,KTXLONGV80,76.3,65.7,86,0.1,30.07,2020-05-21,140.73
82,2020-05-22,KTXLONGV80,80.3,71.1,81,0.3,30.11,2020-05-22,164.06
83,2020-05-23,KTXLONGV80,75.5,65.8,89,0.3,30.2,2020-05-23,134.85
84,2020-05-24,KTXLONGV80,74.1,66.4,92,0.2,30.13,2020-05-24,96.86
85,2020-05-25,KTXLONGV80,70.4,65.7,97,0.2,29.86,2020-05-25,98.83
86,2020-05-26,KTXLONGV80,70.8,63.0,86,0.3,29.94,2020-05-26,135.71
87,2020-05-27,KTXLONGV80,71.9,58.6,78,0.3,29.95,2020-05-27,137.34
88,2020-05-28,KTXLONGV80,70.6,61.5,87,0.2,30.02,2020-05-28,139.53
89,2020-05-29,KTXLONGV80,75.5,58.5,73,0.6,30.12,2020-05-29,165.04
90,2020-05-30,KTXLONGV80,75.5,58.1,67,0.3,30.18,2020-05-30,142.79
91,2020-05-31,KTXLONGV80,76.3,60.1,66,0.2,29.95,2020-05-31,105.58
92,2020-06-01,KTXLONGV80,75.3,60.3,72,0.1,29.96,2020-06-01,135.62
93,2020-06-02,KTXLONGV80,78.9,65.8,76,0.1,29.9,2020-06-02,136.32
94,2020-06-03,KTXLONGV80,81.6,65.8,74,0.2,29.92,2020-06-03,137.54
95,2020-06-04,KTXLONGV80,81.5,70.2,78,0.3,29.94,2020-06-04,148.83
96,2020-06-05,KTXLONGV80,83.7,72.9,77,0.2,29.98,2020-06-05,168.71
97,2020-06-06,KTXLONGV80,83.5,71.4,76,0.4,29.98,2020-06-06,150.77
98,2020-06-07,KTXLONGV80,83.7,71.1,73,0.6,29.86,2020-06-07,109.04
99,2020-06-08,KTXLONGV80,84.2,71.4,75,0.5,29.71,2020-06-08,135.66
100,2020-06-09,KTXLONGV80,84.1,57.9,77,0.7,29.91,2020-06-09,145.08
101,2020-06-10,KTXLONGV80,75.3,48.2,49,0.9,30.14,2020-06-10,151.14
102,2020-06-11,KTXLONGV80,75.7,54.3,59,0.4,30.28,2020-06-11,153.18
103,2020-06-12,KTXLONGV80,76.3,56.3,66,0.3,30.31,2020-06-12,171.15
104,2020-06-13,KTXLONGV80,80.4,60.4,65,0.3,30.17,2020-06-13,160.68
105,2020-06-14,KTXLONGV80,80.8,60.6,66,0.3,30.14,2020-06-14,112.79
106,2020-06-15,KTXLONGV80,82.9,66.6,68,0.3,30.19,2020-06-15,143.89
107,2020-06-16,KTXLONGV80,79.4,66.7,76,0.2,30.17,2020-06-16,146.17
108,2020-06-17,KTXLONGV80,79.8,66.6,74,0.3,30.1,2020-06-17,152.43
109,2020-06-18,KTXLONGV80,81.8,66.2,70,0.3,30.02,2020-06-18,162.51
110,2020-06-19,KTXLONGV80,83.1,67.5,68,0.3,30.05,2020-06-19,190.68
111,2020-06-20,KTXLONGV80,81.5,67.5,72,0.4,30.06,2020-06-20,182.95
112,2020-06-21,KTXLONGV80,82.1,69.8,77,0.4,30.0,2020-06-21,114.67
113,2020-06-22,KTXLONGV80,80.0,68.5,84,0.3,30.0,2020-06-22,145.27
114,2020-06-23,KTXLONGV80,78.9,70.3,84,0.3,29.98,2020-06-23,147.05
115,2020-06-24,KTXLONGV80,77.8,70.0,87,0.3,29.95,2020-06-24,151.66
116,2020-06-25,KTXLONGV80,76.4,71.2,93,0.2,30.02,2020-06-25,154.26
117,2020-06-26,KTXLONGV80,76.3,71.4,98,0.1,30.11,2020-06-26,182.86
118,2020-06-27,KTXLONGV80,82.7,75.0,84,0.3,30.06,2020-06-27,186.05
119,2020-06-28,KTXLONGV80,81.9,74.5,85,0.4,29.93,2020-06-28,129.04
120,2020-06-29,KTXLONGV80,83.0,75.4,84,0.5,29.91,2020-06-29,141.61
121,2020-06-30,KTXLONGV80,83.5,75.6,82,0.5,29.93,2020-06-30,156.18
122,2020-07-01,KTXLONGV80,84.8,76.1,81,0.4,29.94,2020-07-01,154.68
123,2020-07-02,KTXLONGV80,85.9,76.3,80,0.3,30.0,2020-07-02,166.77
124,2020-07-03,KTXLONGV80,81.1,71.4,86,0.3,30.02,2020-07-03,162.01
125,2020-07-04,KTXLONGV80,81.1,70.2,84,0.2,29.99,2020-07-04,131.08
126,2020-07-05,KTXLONGV80,80.5,70.5,86,0.2,29.92,2020-07-05,111.33
127,2020-07-06,KTXLONGV80,77.2,71.8,94,0.2,29.96,2020-07-06,141.39
128,2020-07-07,KTXLONGV80,76.1,71.8,96,0.0,30.02,2020-07-07,139.8
129,2020-07-08,KTXLONGV80,82.2,73.6,88,0.2,29.97,2020-07-08,153.65
130,2020-07-09,KTXLONGV80,85.0,75.0,81,0.3,29.95,2020-07-09,159.4
131,2020-07-10,KTXLONGV80,84.3,75.0,82,0.3,30.07,2020-07-10,183.07
132,2020-07-11,KTXLONGV80,85.8,75.6,80,0.3,30.07,2020-07-11,166.05
133,2020-07-12,KTXLONGV80,84.2,68.5,76,0.4,30.04,2020-07-12,114.67
134,2020-07-13,KTXLONGV80,86.7,76.6,81,0.2,29.95,2020-07-13,141.02
135,2020-07-14,KTXLONGV80,86.8,73.4,74,0.3,29.96,2020-07-14,144.42
136,2020-07-15,KTXLONGV80,85.0,75.2,79,0.4,30.03,2020-07-15,151.37
137,2020-07-16,KTXLONGV80,86.0,70.9,74,0.3,30.08,2020-07-16,158.14
138,2020-07-17,KTXLONGV80,85.0,74.5,77,0.3,30.11,2020-07-17,179.29
139,2020-07-18,KTXLONGV80,84.3,72.9,76,0.3,30.1,2020-07-18,160.4
140,2020-07-19,KTXLONGV80,85.0,72.5,74,0.2,30.07,2020-07-19,110.0
