,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KTXQUITM11,63.4,49.8,87,2.2,30.08,2020-03-01,97.01
1,2020-03-02,KTXQUITM11,65.8,60.0,95,1.1,29.88,2020-03-02,103.87
2,2020-03-03,KTXQUITM11,64.0,56.8,95,1.1,29.93,2020-03-03,109.63
3,2020-03-04,KTXQUITM11,55.9,51.5,95,2.9,30.13,2020-03-04,105.86
4,2020-03-05,KTXQUITM11,55.9,35.0,74,2.6,30.42,2020-03-05,119.84
5,2020-03-06,KTXQUITM11,52.5,20.5,53,1.8,30.59,2020-03-06,148.64
6,2020-03-07,KTXQUITM11,50.0,29.9,63,0.6,30.52,2020-03-07,137.31
7,2020-03-08,KTXQUITM11,56.1,32.9,70,1.1,30.38,2020-03-08,104.89
8,2020-03-09,KTXQUITM11,62.3,55.0,95,1.5,30.24,2020-03-09,122.71
9,2020-03-10,KTXQUITM11,67.0,53.8,86,0.8,30.33,2020-03-10,134.59
10,2020-03-11,KTXQUITM11,70.2,59.8,88,1.9,30.17,2020-03-11,130.6
11,2020-03-12,KTXQUITM11,71.7,63.3,89,1.5,29.94,2020-03-12,140.48
12,2020-03-13,KTXQUITM11,66.5,56.7,96,1.7,30.14,2020-03-13,138.08
13,2020-03-14,KTXQUITM11,64.4,56.5,97,1.4,30.25,2020-03-14,119.72
14,2020-03-15,KTXQUITM11,54.6,50.2,99,2.3,30.41,2020-03-15,94.58
15,2020-03-16,KTXQUITM11,55.2,49.9,99,0.6,30.34,2020-03-16,97.65
16,2020-03-17,KTXQUITM11,63.9,57.1,96,0.7,30.21,2020-03-17,99.13
17,2020-03-18,KTXQUITM11,69.6,61.9,95,0.8,30.11,2020-03-18,99.7
18,2020-03-19,KTXQUITM11,72.0,65.4,94,1.8,30.09,2020-03-19,94.66
19,2020-03-20,KTXQUITM11,56.5,44.8,97,3.1,30.45,2020-03-20,86.0
20,2020-03-21,KTXQUITM11,51.9,43.8,91,1.8,30.47,2020-03-21,79.91
21,2020-03-22,KTXQUITM11,56.2,50.8,99,0.4,30.24,2020-03-22,59.52
22,2020-03-23,KTXQUITM11,62.4,57.6,99,0.4,30.17,2020-03-23,79.34
23,2020-03-24,KTXQUITM11,70.8,46.4,82,2.8,29.97,2020-03-24,81.31
24,2020-03-25,KTXQUITM11,68.2,51.5,74,1.0,29.98,2020-03-25,90.69
25,2020-03-26,KTXQUITM11,73.5,60.7,85,1.7,29.91,2020-03-26,89.32
26,2020-03-27,KTXQUITM11,75.5,66.1,86,1.5,29.83,2020-03-27,95.31
27,2020-03-28,KTXQUITM11,65.9,53.5,95,1.2,30.03,2020-03-28,78.74
28,2020-03-29,KTXQUITM11,61.0,46.8,77,0.5,30.25,2020-03-29,66.83
29,2020-03-30,KTXQUITM11,58.0,52.3,93,1.0,30.21,2020-03-30,66.16
30,2020-03-31,KTXQUITM11,58.7,48.8,86,3.2,30.1,2020-03-31,73.77
31,2020-04-01,KTXQUITM11,58.6,45.0,80,0.8,30.09,2020-04-01,78.51
32,2020-04-02,KTXQUITM11,63.3,51.5,86,1.0,30.04,2020-04-02,77.94
33,2020-04-03,KTXQUITM11,59.4,45.4,98,2.0,30.1,2020-04-03,74.44
34,2020-04-04,KTXQUITM11,47.6,44.1,99,2.9,30.14,2020-04-04,58.42
35,2020-04-05,KTXQUITM11,58.2,48.8,96,1.0,30.17,2020-04-05,51.16
36,2020-04-06,KTXQUITM11,66.2,59.6,94,0.4,30.11,2020-04-06,67.46
37,2020-04-07,KTXQUITM11,74.2,63.4,90,1.7,30.02,2020-04-07,78.41
38,2020-04-08,KTXQUITM11,77.1,69.1,91,1.6,29.91,2020-04-08,82.76
39,2020-04-09,KTXQUITM11,70.9,58.9,86,1.0,30.03,2020-04-09,80.88
40,2020-04-10,KTXQUITM11,63.7,44.1,62,1.3,30.19,2020-04-10,88.2
41,2020-04-11,KTXQUITM11,60.0,47.2,87,0.6,30.04,2020-04-11,64.49
42,2020-04-12,KTXQUITM11,67.5,46.5,91,3.2,29.95,2020-04-12,56.38
43,2020-04-13,KTXQUITM11,50.3,37.1,74,4.5,30.24,2020-04-13,88.82
44,2020-04-14,KTXQUITM11,51.5,37.4,69,3.1,30.32,2020-04-14,82.63
45,2020-04-15,KTXQUITM11,52.1,36.9,75,1.1,30.29,2020-04-15,86.8
46,2020-04-16,KTXQUITM11,58.1,40.6,66,1.3,30.25,2020-04-16,94.96
47,2020-04-17,KTXQUITM11,59.0,47.1,91,2.1,30.18,2020-04-17,103.37
48,2020-04-18,KTXQUITM11,58.3,43.3,84,1.6,30.18,2020-04-18,89.69
49,2020-04-19,KTXQUITM11,64.6,60.1,99,0.6,29.91,2020-04-19,58.05
50,2020-04-20,KTXQUITM11,67.1,59.4,88,0.8,30.0,2020-04-20,95.36
51,2020-04-21,KTXQUITM11,69.9,58.5,89,0.7,30.07,2020-04-21,94.68
52,2020-04-22,KTXQUITM11,70.1,62.7,95,1.1,29.96,2020-04-22,72.95
53,2020-04-23,KTXQUITM11,67.7,58.9,87,2.7,29.85,2020-04-23,101.27
54,2020-04-24,KTXQUITM11,71.3,57.4,79,2.0,29.88,2020-04-24,117.32
55,2020-04-25,KTXQUITM11,67.1,52.7,70,3.8,30.17,2020-04-25,104.92
56,2020-04-26,KTXQUITM11,65.9,49.2,71,0.1,30.27,2020-04-26,92.74
57,2020-04-27,KTXQUITM11,69.7,52.1,74,1.2,30.2,2020-04-27,110.83
58,2020-04-28,KTXQUITM11,75.0,64.0,89,1.7,30.05,2020-04-28,95.58
59,2020-04-29,KTXQUITM11,67.2,45.5,71,4.1,30.12,2020-04-29,106.16
60,2020-04-30,KTXQUITM11,63.8,49.2,76,1.0,30.18,2020-04-30,123.98
61,2020-05-01,KTXQUITM11,70.4,53.5,75,1.3,30.1,2020-05-01,132.54
62,2020-05-02,KTXQUITM11,75.0,62.2,81,1.7,30.09,2020-05-02,129.6
63,2020-05-03,KTXQUITM11,77.5,67.6,83,1.5,30.02,2020-05-03,109.56
64,2020-05-04,KTXQUITM11,78.0,67.9,84,1.8,29.94,2020-05-04,111.18
65,2020-05-05,KTXQUITM11,73.0,55.5,77,2.3,30.18,2020-05-05,109.83
66,2020-05-06,KTXQUITM11,67.2,48.8,70,0.7,30.26,2020-05-06,112.88
67,2020-05-07,KTXQUITM11,70.1,52.1,72,1.7,30.23,2020-05-07,119.24
68,2020-05-08,KTXQUITM11,68.3,53.2,82,4.0,30.21,2020-05-08,125.71
69,2020-05-09,KTXQUITM11,62.0,48.4,76,0.8,30.29,2020-05-09,143.1
70,2020-05-10,KTXQUITM11,64.0,48.6,77,0.6,30.33,2020-05-10,98.33
71,2020-05-11,KTXQUITM11,67.4,51.7,73,0.8,30.32,2020-05-11,98.33
72,2020-05-12,KTXQUITM11,68.2,58.5,91,0.2,30.1,2020-05-12,98.33
73,2020-05-13,KTXQUITM11,74.7,64.3,88,0.9,30.04,2020-05-13,124.38
74,2020-05-14,KTXQUITM11,78.0,69.5,87,1.2,30.03,2020-05-14,127.08
75,2020-05-15,KTXQUITM11,74.1,64.5,92,1.0,29.95,2020-05-15,144.55
76,2020-05-16,KTXQUITM11,70.1,64.5,99,1.3,29.88,2020-05-16,116.95
77,2020-05-17,KTXQUITM11,73.1,63.6,87,5.0,29.95,2020-05-17,107.71
78,2020-05-18,KTXQUITM11,72.3,59.1,82,0.9,30.01,2020-05-18,126.65
79,2020-05-19,KTXQUITM11,76.6,65.4,83,1.1,29.91,2020-05-19,140.0
80,2020-05-20,KTXQUITM11,73.2,64.4,83,0.6,29.94,2020-05-20,126.83
81,2020-05-21,KTXQUITM11,75.8,67.2,94,0.6,29.91,2020-05-21,142.23
82,2020-05-22,KTXQUITM11,80.5,72.4,89,1.6,29.94,2020-05-22,167.38
83,2020-05-23,KTXQUITM11,77.5,66.6,91,1.3,30.04,2020-05-23,158.7
84,2020-05-24,KTXQUITM11,73.8,66.4,96,0.9,29.98,2020-05-24,125.51
85,2020-05-25,KTXQUITM11,69.7,65.9,99,1.6,29.87,2020-05-25,119.99
86,2020-05-26,KTXQUITM11,69.2,62.7,93,2.0,29.95,2020-05-26,127.0
87,2020-05-27,KTXQUITM11,71.7,60.5,84,0.9,29.96,2020-05-27,136.44
88,2020-05-28,KTXQUITM11,71.7,64.1,91,0.9,30.05,2020-05-28,142.75
89,2020-05-29,KTXQUITM11,76.3,60.1,75,1.9,30.16,2020-05-29,157.3
90,2020-05-30,KTXQUITM11,74.4,61.8,77,0.5,30.2,2020-05-30,176.59
91,2020-05-31,KTXQUITM11,74.8,61.8,76,0.5,30.21,2020-05-31,129.02
92,2020-06-01,KTXQUITM11,74.0,64.0,83,0.2,30.21,2020-06-01,128.75
93,2020-06-02,KTXQUITM11,78.9,67.8,86,0.5,30.15,2020-06-02,140.78
94,2020-06-03,KTXQUITM11,81.6,71.2,81,0.7,30.08,2020-06-03,147.74
95,2020-06-04,KTXQUITM11,82.8,71.9,83,1.1,29.95,2020-06-04,153.81
96,2020-06-05,KTXQUITM11,84.6,73.6,83,0.8,30.0,2020-06-05,182.23
97,2020-06-06,KTXQUITM11,84.9,72.9,83,0.4,30.0,2020-06-06,175.87
98,2020-06-07,KTXQUITM11,83.6,72.2,81,0.8,29.9,2020-06-07,133.42
99,2020-06-08,KTXQUITM11,84.1,73.5,81,1.7,29.76,2020-06-08,134.61
100,2020-06-09,KTXQUITM11,84.7,55.8,80,2.5,29.94,2020-06-09,141.28
101,2020-06-10,KTXQUITM11,75.9,51.6,54,5.2,30.18,2020-06-10,150.86
102,2020-06-11,KTXQUITM11,75.0,55.2,66,0.1,30.33,2020-06-11,157.42
103,2020-06-12,KTXQUITM11,74.8,60.1,76,0.3,30.35,2020-06-12,182.68
104,2020-06-13,KTXQUITM11,78.6,63.5,74,0.3,30.21,2020-06-13,188.17
105,2020-06-14,KTXQUITM11,80.7,62.8,71,0.4,30.17,2020-06-14,146.22
