,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KVAAMELI9,36.8,12.0,56,0.5,30.44,2020-03-01,111.1
1,2020-03-02,KVAAMELI9,54.0,23.4,51,1.0,30.32,2020-03-02,107.59
2,2020-03-03,KVAAMELI9,56.2,41.4,81,1.0,30.04,2020-03-03,113.51
3,2020-03-04,KVAAMELI9,53.4,26.2,48,0.5,30.13,2020-03-04,111.47
4,2020-03-05,KVAAMELI9,46.8,26.2,61,0.9,30.36,2020-03-05,129.32
5,2020-03-06,KVAAMELI9,45.6,26.1,63,1.3,30.18,2020-03-06,142.28
6,2020-03-07,KVAAMELI9,43.7,15.6,51,1.7,30.64,2020-03-07,138.58
7,2020-03-08,KVAAMELI9,43.7,20.1,53,0.9,30.75,2020-03-08,111.84
8,2020-03-09,KVAAMELI9,55.7,27.0,46,0.6,30.64,2020-03-09,107.86
9,2020-03-10,KVAAMELI9,61.5,43.3,73,0.9,30.52,2020-03-10,126.27
10,2020-03-11,KVAAMELI9,59.1,46.9,77,0.8,30.29,2020-03-11,117.85
11,2020-03-12,KVAAMELI9,55.8,46.8,85,0.9,30.22,2020-03-12,110.36
12,2020-03-13,KVAAMELI9,67.2,36.3,60,1.5,30.33,2020-03-13,137.0
13,2020-03-14,KVAAMELI9,52.8,22.6,47,0.4,30.56,2020-03-14,124.14
14,2020-03-15,KVAAMELI9,46.6,37.6,80,0.5,30.63,2020-03-15,89.73
15,2020-03-16,KVAAMELI9,49.3,29.1,68,1.7,30.64,2020-03-16,102.59
16,2020-03-17,KVAAMELI9,53.7,41.2,80,1.1,30.46,2020-03-17,93.8
17,2020-03-18,KVAAMELI9,53.5,39.4,73,1.5,30.63,2020-03-18,94.63
18,2020-03-19,KVAAMELI9,64.8,47.3,82,1.0,30.45,2020-03-19,88.62
19,2020-03-20,KVAAMELI9,75.7,57.6,66,1.2,30.3,2020-03-20,104.63
20,2020-03-21,KVAAMELI9,55.7,37.2,83,0.6,30.55,2020-03-21,81.68
21,2020-03-22,KVAAMELI9,49.7,30.9,60,1.2,30.67,2020-03-22,74.01
22,2020-03-23,KVAAMELI9,44.3,37.8,95,0.4,30.6,2020-03-23,88.53
23,2020-03-24,KVAAMELI9,48.6,39.7,90,0.7,30.34,2020-03-24,91.12
24,2020-03-25,KVAAMELI9,46.5,43.5,98,1.0,30.23,2020-03-25,76.41
25,2020-03-26,KVAAMELI9,49.6,41.2,86,0.8,30.29,2020-03-26,85.29
26,2020-03-27,KVAAMELI9,62.7,48.6,79,0.7,30.2,2020-03-27,103.79
27,2020-03-28,KVAAMELI9,63.7,53.4,86,0.9,30.16,2020-03-28,97.5
28,2020-03-29,KVAAMELI9,69.5,34.2,71,1.0,30.14,2020-03-29,68.18
29,2020-03-30,KVAAMELI9,65.0,23.9,43,0.3,30.17,2020-03-30,73.27
