,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KVAGLADY2,39.8,14.0,46,1.4,30.32,2020-03-01,109.55
1,2020-03-02,KVAGLADY2,51.1,21.0,50,3.6,30.17,2020-03-02,107.78
2,2020-03-03,KVAGLADY2,53.7,33.0,79,2.6,29.88,2020-03-03,108.48
3,2020-03-04,KVAGLADY2,53.3,26.0,44,1.5,29.98,2020-03-04,107.89
4,2020-03-05,KVAGLADY2,47.6,32.0,63,0.5,30.18,2020-03-05,117.37
5,2020-03-06,KVAGLADY2,42.9,26.0,66,2.0,30.08,2020-03-06,146.16
6,2020-03-07,KVAGLADY2,43.6,20.0,49,1.0,30.5,2020-03-07,133.71
7,2020-03-08,KVAGLADY2,45.3,21.0,48,1.4,30.62,2020-03-08,104.65
8,2020-03-09,KVAGLADY2,54.5,27.0,48,2.2,30.52,2020-03-09,111.5
9,2020-03-10,KVAGLADY2,59.5,44.0,73,2.7,30.35,2020-03-10,115.56
10,2020-03-11,KVAGLADY2,60.4,41.0,69,0.9,30.11,2020-03-11,112.3
11,2020-03-12,KVAGLADY2,55.9,40.0,77,1.2,30.07,2020-03-12,117.31
12,2020-03-13,KVAGLADY2,66.3,27.0,52,2.3,30.19,2020-03-13,136.59
13,2020-03-14,KVAGLADY2,51.0,25.0,49,0.8,30.4,2020-03-14,107.87
14,2020-03-15,KVAGLADY2,44.1,37.0,85,1.3,30.48,2020-03-15,81.81
15,2020-03-16,KVAGLADY2,47.2,37.0,74,0.5,30.49,2020-03-16,95.06
16,2020-03-17,KVAGLADY2,54.3,41.0,77,1.2,30.3,2020-03-17,89.21
17,2020-03-18,KVAGLADY2,52.4,42.0,78,0.6,30.46,2020-03-18,89.42
18,2020-03-19,KVAGLADY2,63.3,41.0,73,1.2,30.28,2020-03-19,84.9
19,2020-03-20,KVAGLADY2,70.4,58.0,73,3.2,30.13,2020-03-20,98.55
20,2020-03-21,KVAGLADY2,57.7,38.0,76,1.4,30.38,2020-03-21,86.58
21,2020-03-22,KVAGLADY2,49.0,33.0,62,1.2,30.5,2020-03-22,63.51
22,2020-03-23,KVAGLADY2,44.2,37.0,86,0.8,30.43,2020-03-23,72.37
23,2020-03-24,KVAGLADY2,48.6,34.0,80,0.7,30.18,2020-03-24,76.74
24,2020-03-25,KVAGLADY2,49.0,37.0,79,1.1,30.06,2020-03-25,70.79
25,2020-03-26,KVAGLADY2,50.3,41.0,82,1.9,30.13,2020-03-26,75.58
26,2020-03-27,KVAGLADY2,62.7,48.0,78,1.1,29.96,2020-03-27,86.94
27,2020-03-28,KVAGLADY2,67.0,53.0,75,1.1,29.97,2020-03-28,78.15
28,2020-03-29,KVAGLADY2,69.3,31.0,62,2.6,29.96,2020-03-29,64.52
29,2020-03-30,KVAGLADY2,65.6,25.0,33,2.3,30.02,2020-03-30,75.9
30,2020-03-31,KVAGLADY2,48.9,28.0,73,0.4,29.98,2020-03-31,67.3
31,2020-04-01,KVAGLADY2,48.1,38.0,76,1.4,29.94,2020-04-01,68.6
32,2020-04-02,KVAGLADY2,51.1,31.0,59,1.3,30.02,2020-04-02,75.29
33,2020-04-03,KVAGLADY2,57.3,23.0,38,1.4,29.94,2020-04-03,82.06
34,2020-04-04,KVAGLADY2,56.1,26.0,51,0.8,30.05,2020-04-04,75.02
35,2020-04-05,KVAGLADY2,57.1,36.0,68,0.9,30.11,2020-04-05,56.91
36,2020-04-06,KVAGLADY2,63.1,46.0,68,0.7,30.05,2020-04-06,80.86
37,2020-04-07,KVAGLADY2,65.0,40.0,68,1.2,29.99,2020-04-07,80.32
38,2020-04-08,KVAGLADY2,67.2,49.0,65,2.3,29.76,2020-04-08,84.9
39,2020-04-09,KVAGLADY2,62.3,26.0,56,2.7,29.59,2020-04-09,81.05
40,2020-04-10,KVAGLADY2,46.8,23.0,46,2.3,29.97,2020-04-10,89.51
41,2020-04-11,KVAGLADY2,49.0,25.0,51,1.3,30.11,2020-04-11,80.84
