,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KVAONANC5,38.5,19.1,58,3.0,30.24,2020-03-01,130.89
1,2020-03-02,KVAONANC5,51.9,32.7,64,3.2,30.12,2020-03-02,111.72
2,2020-03-03,KVAONANC5,59.5,45.3,76,3.4,29.81,2020-03-03,103.67
3,2020-03-04,KVAONANC5,52.7,29.8,66,1.4,29.88,2020-03-04,108.4
4,2020-03-05,KVAONANC5,46.5,29.4,68,3.3,30.14,2020-03-05,127.99
5,2020-03-06,KVAONANC5,44.7,38.0,90,5.7,29.94,2020-03-06,141.24
6,2020-03-07,KVAONANC5,41.1,25.2,72,8.7,30.39,2020-03-07,136.45
7,2020-03-08,KVAONANC5,41.7,24.5,68,1.2,30.52,2020-03-08,136.15
8,2020-03-09,KVAONANC5,56.2,32.2,49,2.7,30.43,2020-03-09,122.66
9,2020-03-10,KVAONANC5,63.2,46.8,72,5.0,30.3,2020-03-10,121.42
10,2020-03-11,KVAONANC5,54.6,44.2,80,4.1,30.07,2020-03-11,112.37
11,2020-03-12,KVAONANC5,51.7,44.1,87,6.0,30.02,2020-03-12,120.83
12,2020-03-13,KVAONANC5,64.5,39.2,77,2.8,30.07,2020-03-13,147.22
13,2020-03-14,KVAONANC5,52.8,29.3,53,4.1,30.34,2020-03-14,138.99
14,2020-03-15,KVAONANC5,45.6,31.8,81,4.3,30.4,2020-03-15,112.78
15,2020-03-16,KVAONANC5,42.2,31.2,85,5.4,30.43,2020-03-16,107.28
16,2020-03-17,KVAONANC5,50.1,37.5,84,1.3,30.25,2020-03-17,92.54
17,2020-03-18,KVAONANC5,51.2,39.2,78,6.1,30.42,2020-03-18,95.38
18,2020-03-19,KVAONANC5,61.8,49.5,89,2.5,30.25,2020-03-19,90.77
19,2020-03-20,KVAONANC5,73.2,54.4,74,4.1,30.1,2020-03-20,94.97
20,2020-03-21,KVAONANC5,53.7,39.1,88,4.2,30.33,2020-03-21,80.3
21,2020-03-22,KVAONANC5,46.5,37.4,81,6.7,30.47,2020-03-22,65.33
22,2020-03-23,KVAONANC5,47.9,42.1,94,6.3,30.41,2020-03-23,65.92
23,2020-03-24,KVAONANC5,48.7,42.1,85,3.5,30.12,2020-03-24,66.09
24,2020-03-25,KVAONANC5,47.8,40.8,92,8.3,29.99,2020-03-25,64.79
25,2020-03-26,KVAONANC5,47.2,33.2,81,2.0,30.06,2020-03-26,67.75
26,2020-03-27,KVAONANC5,56.8,47.2,85,1.7,29.98,2020-03-27,71.95
27,2020-03-28,KVAONANC5,57.6,50.4,91,3.5,29.98,2020-03-28,67.87
28,2020-03-29,KVAONANC5,57.7,50.6,93,2.0,29.91,2020-03-29,60.83
29,2020-03-30,KVAONANC5,57.9,44.1,83,2.2,29.94,2020-03-30,72.31
30,2020-03-31,KVAONANC5,46.8,39.5,91,5.2,29.93,2020-03-31,57.57
31,2020-04-01,KVAONANC5,44.3,35.8,83,7.3,29.76,2020-04-01,53.08
32,2020-04-02,KVAONANC5,51.4,31.4,63,4.4,29.83,2020-04-02,56.98
33,2020-04-03,KVAONANC5,54.9,32.8,56,6.2,29.79,2020-04-03,70.71
34,2020-04-04,KVAONANC5,49.2,39.1,83,3.8,30.01,2020-04-04,54.91
35,2020-04-05,KVAONANC5,51.2,37.0,79,1.3,30.05,2020-04-05,42.31
36,2020-04-06,KVAONANC5,55.4,42.4,83,1.3,29.98,2020-04-06,59.53
37,2020-04-07,KVAONANC5,56.8,39.9,81,1.6,29.96,2020-04-07,56.45
38,2020-04-08,KVAONANC5,64.1,54.6,81,2.1,29.63,2020-04-08,72.31
39,2020-04-09,KVAONANC5,59.3,35.3,52,9.8,29.47,2020-04-09,64.14
40,2020-04-10,KVAONANC5,50.4,27.1,49,5.1,29.84,2020-04-10,65.33
41,2020-04-11,KVAONANC5,50.6,27.9,55,2.9,30.02,2020-04-11,62.96
42,2020-04-12,KVAONANC5,60.2,42.0,69,3.8,30.13,2020-04-12,47.93
43,2020-04-13,KVAONANC5,66.5,54.8,82,6.2,30.0,2020-04-13,55.62
44,2020-04-14,KVAONANC5,54.1,36.5,65,4.6,30.07,2020-04-14,69.64
45,2020-04-15,KVAONANC5,44.1,30.4,75,5.3,30.01,2020-04-15,76.75
46,2020-04-16,KVAONANC5,45.2,30.7,68,2.2,30.22,2020-04-16,77.16
47,2020-04-17,KVAONANC5,48.3,28.7,70,3.1,30.3,2020-04-17,81.42
48,2020-04-18,KVAONANC5,54.5,34.2,77,5.4,29.94,2020-04-18,67.81
