,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KVAPOWHA36,26.7,11.3,71,0.1,29.99,2020-03-01,92.93
1,2020-03-02,KVAPOWHA36,47.6,22.8,57,0.6,29.86,2020-03-02,104.62
2,2020-03-03,KVAPOWHA36,53.9,34.1,78,0.5,29.58,2020-03-03,109.36
3,2020-03-04,KVAPOWHA36,49.3,23.8,55,0.4,29.67,2020-03-04,109.89
4,2020-03-05,KVAPOWHA36,45.5,21.6,60,0.9,29.92,2020-03-05,116.08
5,2020-03-06,KVAPOWHA36,44.1,23.0,65,1.2,29.72,2020-03-06,134.89
6,2020-03-07,KVAPOWHA36,43.6,14.4,48,2.4,30.19,2020-03-07,135.59
7,2020-03-08,KVAPOWHA36,39.7,18.1,56,0.5,30.3,2020-03-08,96.1
8,2020-03-09,KVAPOWHA36,47.2,25.6,56,0.1,30.18,2020-03-09,111.95
9,2020-03-10,KVAPOWHA36,60.1,41.7,70,0.7,30.06,2020-03-10,111.98
10,2020-03-11,KVAPOWHA36,58.0,44.4,74,0.2,29.84,2020-03-11,108.4
11,2020-03-12,KVAPOWHA36,55.5,45.7,81,0.5,29.77,2020-03-12,107.82
12,2020-03-13,KVAPOWHA36,65.6,26.4,60,0.9,29.87,2020-03-13,115.41
13,2020-03-14,KVAPOWHA36,52.9,18.9,37,0.5,30.11,2020-03-14,100.49
14,2020-03-15,KVAPOWHA36,46.0,30.9,76,1.1,30.17,2020-03-15,68.71
15,2020-03-16,KVAPOWHA36,48.8,25.7,65,0.5,30.19,2020-03-16,91.39
16,2020-03-17,KVAPOWHA36,52.4,40.2,78,0.4,30.0,2020-03-17,82.87
17,2020-03-18,KVAPOWHA36,54.2,37.3,67,0.9,30.18,2020-03-18,84.73
18,2020-03-19,KVAPOWHA36,63.3,47.4,82,0.5,29.99,2020-03-19,85.81
19,2020-03-20,KVAPOWHA36,74.1,54.5,67,1.4,29.84,2020-03-20,99.68
20,2020-03-21,KVAPOWHA36,57.6,33.3,80,1.1,30.1,2020-03-21,62.58
21,2020-03-22,KVAPOWHA36,48.4,28.4,56,1.2,30.22,2020-03-22,56.82
22,2020-03-23,KVAPOWHA36,44.7,38.9,91,0.6,30.15,2020-03-23,81.01
23,2020-03-24,KVAPOWHA36,47.4,37.1,87,0.2,29.89,2020-03-24,84.76
24,2020-03-25,KVAPOWHA36,46.1,42.8,95,0.8,29.78,2020-03-25,64.64
