,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KVAROCKY24,43.4,7.7,35,2.6,30.29,2020-03-01,114.62
1,2020-03-02,KVAROCKY24,48.4,20.1,54,5.8,30.17,2020-03-02,122.93
2,2020-03-03,KVAROCKY24,54.2,25.5,72,4.9,29.94,2020-03-03,122.5
3,2020-03-04,KVAROCKY24,52.8,19.8,39,4.1,30.04,2020-03-04,117.77
4,2020-03-05,KVAROCKY24,48.1,26.6,57,1.6,30.2,2020-03-05,126.82
5,2020-03-06,KVAROCKY24,40.8,23.7,68,4.8,30.14,2020-03-06,143.29
6,2020-03-07,KVAROCKY24,38.7,17.8,53,5.2,30.51,2020-03-07,144.41
7,2020-03-08,KVAROCKY24,44.3,16.9,47,3.2,30.61,2020-03-08,111.77
8,2020-03-09,KVAROCKY24,54.5,18.3,44,5.3,30.52,2020-03-09,120.4
9,2020-03-10,KVAROCKY24,59.6,43.5,71,6.8,30.38,2020-03-10,121.45
10,2020-03-11,KVAROCKY24,60.5,42.4,70,2.3,30.18,2020-03-11,117.99
11,2020-03-12,KVAROCKY24,55.6,40.3,75,1.4,30.11,2020-03-12,117.83
12,2020-03-13,KVAROCKY24,63.4,24.1,52,3.6,30.27,2020-03-13,143.08
13,2020-03-14,KVAROCKY24,51.6,12.4,44,2.0,30.43,2020-03-14,127.81
14,2020-03-15,KVAROCKY24,42.6,38.3,90,2.2,30.48,2020-03-15,92.21
15,2020-03-16,KVAROCKY24,45.7,35.4,77,1.3,30.49,2020-03-16,114.68
16,2020-03-17,KVAROCKY24,52.4,42.1,85,1.8,30.32,2020-03-17,100.4
17,2020-03-18,KVAROCKY24,49.4,40.1,86,1.3,30.48,2020-03-18,95.09
18,2020-03-19,KVAROCKY24,63.1,48.2,82,3.3,30.32,2020-03-19,107.94
19,2020-03-20,KVAROCKY24,70.4,56.5,71,5.5,30.2,2020-03-20,116.16
20,2020-03-21,KVAROCKY24,60.4,40.1,74,2.8,30.41,2020-03-21,94.87
21,2020-03-22,KVAROCKY24,47.7,32.9,63,2.4,30.5,2020-03-22,77.66
22,2020-03-23,KVAROCKY24,43.3,37.9,96,1.7,30.43,2020-03-23,77.44
23,2020-03-24,KVAROCKY24,49.5,41.2,89,1.5,30.18,2020-03-24,85.69
24,2020-03-25,KVAROCKY24,50.1,44.2,91,1.9,30.09,2020-03-25,88.69
