,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KVTMIDDL16,20.3,5.3,68,1.7,30.14,2020-03-01,116.98
1,2020-03-02,KVTMIDDL16,36.1,12.3,66,6.8,30.1,2020-03-02,91.29
2,2020-03-03,KVTMIDDL16,48.3,37.3,75,5.5,29.72,2020-03-03,98.89
3,2020-03-04,KVTMIDDL16,39.9,24.6,68,7.6,29.79,2020-03-04,100.67
4,2020-03-05,KVTMIDDL16,38.4,24.5,64,2.3,30.1,2020-03-05,97.48
5,2020-03-06,KVTMIDDL16,33.0,23.1,82,6.4,30.08,2020-03-06,137.34
6,2020-03-07,KVTMIDDL16,26.2,6.3,60,7.5,30.36,2020-03-07,137.37
7,2020-03-08,KVTMIDDL16,38.3,12.0,48,6.6,30.37,2020-03-08,117.65
8,2020-03-09,KVTMIDDL16,55.9,24.3,35,8.3,30.2,2020-03-09,106.41
9,2020-03-10,KVTMIDDL16,53.2,30.2,60,8.0,30.11,2020-03-10,106.41
10,2020-03-11,KVTMIDDL16,33.0,19.2,71,2.4,30.2,2020-03-11,105.75
11,2020-03-12,KVTMIDDL16,37.4,21.6,66,3.7,30.19,2020-03-12,109.49
12,2020-03-13,KVTMIDDL16,44.0,22.6,62,12.8,30.05,2020-03-13,121.99
13,2020-03-14,KVTMIDDL16,40.4,17.8,49,7.6,30.36,2020-03-14,105.01
14,2020-03-15,KVTMIDDL16,28.8,7.0,54,5.9,30.64,2020-03-15,91.51
15,2020-03-16,KVTMIDDL16,29.5,8.2,49,3.9,30.67,2020-03-16,67.78
16,2020-03-17,KVTMIDDL16,38.4,16.1,77,9.8,30.32,2020-03-17,62.55
17,2020-03-18,KVTMIDDL16,39.8,17.9,46,3.1,30.49,2020-03-18,64.96
18,2020-03-19,KVTMIDDL16,41.5,19.2,75,4.2,30.38,2020-03-19,60.96
19,2020-03-20,KVTMIDDL16,49.1,35.2,81,10.0,30.11,2020-03-20,60.7
20,2020-03-21,KVTMIDDL16,30.7,4.3,52,7.3,30.58,2020-03-21,61.03
21,2020-03-22,KVTMIDDL16,26.0,3.1,50,3.6,30.77,2020-03-22,49.98
22,2020-03-23,KVTMIDDL16,30.3,11.0,68,5.7,30.65,2020-03-23,49.91
23,2020-03-24,KVTMIDDL16,34.2,26.4,84,2.4,30.23,2020-03-24,48.02
24,2020-03-25,KVTMIDDL16,35.9,19.9,73,2.6,30.22,2020-03-25,51.61
25,2020-03-26,KVTMIDDL16,44.2,26.6,65,6.6,30.06,2020-03-26,49.35
26,2020-03-27,KVTMIDDL16,45.4,21.4,58,4.2,30.08,2020-03-27,47.46
27,2020-03-28,KVTMIDDL16,42.2,20.4,52,1.9,30.16,2020-03-28,54.8
28,2020-03-29,KVTMIDDL16,43.1,31.8,85,3.1,30.12,2020-03-29,36.6
29,2020-03-30,KVTMIDDL16,39.8,34.5,88,4.6,30.02,2020-03-30,41.12
30,2020-03-31,KVTMIDDL16,40.1,23.8,75,4.0,30.09,2020-03-31,43.75
31,2020-04-01,KVTMIDDL16,37.6,22.8,71,7.4,29.96,2020-04-01,46.68
32,2020-04-02,KVTMIDDL16,37.7,30.6,84,9.8,29.83,2020-04-02,42.2
33,2020-04-03,KVTMIDDL16,42.9,36.3,91,8.1,29.96,2020-04-03,49.76
34,2020-04-04,KVTMIDDL16,47.6,35.8,76,2.5,30.05,2020-04-04,55.77
35,2020-04-05,KVTMIDDL16,49.4,38.2,76,2.7,30.0,2020-04-05,38.97
36,2020-04-06,KVTMIDDL16,47.5,14.1,49,3.7,30.08,2020-04-06,50.02
37,2020-04-07,KVTMIDDL16,48.8,17.5,38,2.3,29.9,2020-04-07,48.39
