,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KWIMONRO8,42.2,23.5,73,4.6,29.99,2020-03-01,115.46
1,2020-03-02,KWIMONRO8,33.3,25.0,82,3.1,29.84,2020-03-02,93.71
2,2020-03-03,KWIMONRO8,35.4,25.7,82,4.6,29.8,2020-03-03,110.07
3,2020-03-04,KWIMONRO8,36.1,22.9,74,3.4,30.11,2020-03-04,103.83
4,2020-03-05,KWIMONRO8,37.8,24.7,74,7.0,30.1,2020-03-05,119.79
5,2020-03-06,KWIMONRO8,32.7,16.6,63,3.3,30.53,2020-03-06,135.25
6,2020-03-07,KWIMONRO8,38.9,18.8,65,5.2,30.53,2020-03-07,177.95
7,2020-03-08,KWIMONRO8,50.4,28.6,54,6.4,30.24,2020-03-08,120.24
8,2020-03-09,KWIMONRO8,46.3,33.1,88,3.7,30.08,2020-03-09,106.9
9,2020-03-10,KWIMONRO8,39.7,28.0,79,3.1,30.31,2020-03-10,117.37
10,2020-03-11,KWIMONRO8,39.5,34.4,93,2.3,30.17,2020-03-11,104.28
11,2020-03-12,KWIMONRO8,42.4,29.5,92,5.4,29.96,2020-03-12,109.67
12,2020-03-13,KWIMONRO8,39.6,18.9,54,6.5,30.48,2020-03-13,127.84
13,2020-03-14,KWIMONRO8,31.8,20.9,75,2.0,30.65,2020-03-14,129.05
14,2020-03-15,KWIMONRO8,31.4,21.3,78,2.1,30.73,2020-03-15,90.13
15,2020-03-16,KWIMONRO8,34.0,23.1,86,2.2,30.5,2020-03-16,86.81
16,2020-03-17,KWIMONRO8,38.0,20.4,63,3.1,30.37,2020-03-17,82.23
17,2020-03-18,KWIMONRO8,37.9,28.0,89,3.8,30.28,2020-03-18,78.2
18,2020-03-19,KWIMONRO8,43.2,38.8,100,3.5,30.14,2020-03-19,78.75
19,2020-03-20,KWIMONRO8,34.5,20.5,82,3.7,30.57,2020-03-20,80.72
20,2020-03-21,KWIMONRO8,30.1,16.1,66,3.0,30.64,2020-03-21,75.03
21,2020-03-22,KWIMONRO8,30.2,20.2,79,4.0,30.56,2020-03-22,60.17
22,2020-03-23,KWIMONRO8,35.0,25.7,91,2.0,30.24,2020-03-23,77.69
23,2020-03-24,KWIMONRO8,40.0,32.0,86,2.7,30.21,2020-03-24,65.56
24,2020-03-25,KWIMONRO8,43.3,31.7,89,3.1,30.0,2020-03-25,69.79
25,2020-03-26,KWIMONRO8,43.6,35.7,95,2.7,29.97,2020-03-26,64.55
26,2020-03-27,KWIMONRO8,43.9,33.3,90,5.9,29.96,2020-03-27,68.53
27,2020-03-28,KWIMONRO8,46.5,40.5,99,6.2,29.79,2020-03-28,65.26
28,2020-03-29,KWIMONRO8,42.6,36.0,86,7.9,30.0,2020-03-29,54.18
29,2020-03-30,KWIMONRO8,46.8,32.7,68,4.0,30.22,2020-03-30,75.53
30,2020-03-31,KWIMONRO8,36.6,30.5,86,2.3,30.17,2020-03-31,70.75
31,2020-04-01,KWIMONRO8,45.4,27.1,71,1.7,30.16,2020-04-01,84.84
32,2020-04-02,KWIMONRO8,50.0,33.6,70,3.9,30.22,2020-04-02,84.89
33,2020-04-03,KWIMONRO8,52.2,34.2,73,3.9,30.12,2020-04-03,85.7
34,2020-04-04,KWIMONRO8,40.4,22.9,68,3.0,30.22,2020-04-04,87.01
35,2020-04-05,KWIMONRO8,46.4,24.5,59,1.8,30.25,2020-04-05,68.83
36,2020-04-06,KWIMONRO8,48.4,17.9,65,2.8,30.17,2020-04-06,81.72
37,2020-04-07,KWIMONRO8,60.6,48.9,86,2.4,29.92,2020-04-07,80.77
38,2020-04-08,KWIMONRO8,50.5,31.0,90,2.4,29.87,2020-04-08,83.03
39,2020-04-09,KWIMONRO8,38.2,18.7,65,7.1,30.02,2020-04-09,84.89
40,2020-04-10,KWIMONRO8,39.1,22.3,61,3.5,30.11,2020-04-10,99.4
41,2020-04-11,KWIMONRO8,49.4,26.9,66,2.7,29.99,2020-04-11,93.0
42,2020-04-12,KWIMONRO8,50.0,32.6,89,3.6,29.75,2020-04-12,54.33
43,2020-04-13,KWIMONRO8,34.2,14.1,71,7.4,30.18,2020-04-13,76.94
44,2020-04-14,KWIMONRO8,29.9,15.4,69,5.4,30.21,2020-04-14,82.98
45,2020-04-15,KWIMONRO8,31.0,13.1,59,3.2,30.24,2020-04-15,88.52
46,2020-04-16,KWIMONRO8,35.0,13.8,53,2.9,30.35,2020-04-16,89.38
47,2020-04-17,KWIMONRO8,39.2,21.2,70,2.0,30.26,2020-04-17,98.59
48,2020-04-18,KWIMONRO8,47.8,29.1,64,5.9,30.02,2020-04-18,101.06
