,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KWVMOUND13,32.3,15.6,61,1.4,30.21,2020-03-01,86.84
1,2020-03-02,KWVMOUND13,50.3,22.8,68,1.8,29.94,2020-03-02,106.96
2,2020-03-03,KWVMOUND13,49.2,35.1,85,2.2,29.8,2020-03-03,110.32
3,2020-03-04,KWVMOUND13,44.2,28.4,68,1.8,30.07,2020-03-04,105.07
4,2020-03-05,KWVMOUND13,37.7,24.4,75,1.0,30.14,2020-03-05,115.16
5,2020-03-06,KWVMOUND13,37.2,26.2,83,2.2,30.25,2020-03-06,126.55
6,2020-03-07,KWVMOUND13,35.4,22.5,69,1.9,30.51,2020-03-07,99.82
7,2020-03-08,KWVMOUND13,43.8,11.5,53,1.3,30.49,2020-03-08,91.15
8,2020-03-09,KWVMOUND13,55.0,20.5,43,1.8,30.38,2020-03-09,113.98
9,2020-03-10,KWVMOUND13,54.5,31.8,73,2.3,30.19,2020-03-10,110.97
10,2020-03-11,KWVMOUND13,45.5,38.8,87,0.8,30.18,2020-03-11,126.84
11,2020-03-12,KWVMOUND13,53.2,41.9,79,1.2,29.99,2020-03-12,99.41
12,2020-03-13,KWVMOUND13,52.1,21.7,65,1.9,30.32,2020-03-13,105.37
13,2020-03-14,KWVMOUND13,36.6,22.1,73,0.7,30.42,2020-03-14,91.68
14,2020-03-15,KWVMOUND13,42.5,31.3,75,1.5,30.47,2020-03-15,69.44
15,2020-03-16,KWVMOUND13,44.9,28.0,77,1.0,30.43,2020-03-16,104.19
16,2020-03-17,KWVMOUND13,44.5,37.8,90,0.8,30.33,2020-03-17,94.69
17,2020-03-18,KWVMOUND13,47.1,33.1,80,1.6,30.35,2020-03-18,83.13
18,2020-03-19,KWVMOUND13,58.4,51.1,87,1.2,30.17,2020-03-19,95.52
19,2020-03-20,KWVMOUND13,66.9,39.4,72,4.7,30.21,2020-03-20,74.63
20,2020-03-21,KWVMOUND13,36.0,24.6,68,1.9,30.33,2020-03-21,57.05
21,2020-03-22,KWVMOUND13,44.3,23.7,56,2.5,30.06,2020-03-22,51.86
22,2020-03-23,KWVMOUND13,47.8,32.0,87,1.4,29.79,2020-03-23,73.1
23,2020-03-24,KWVMOUND13,45.3,34.5,75,1.2,29.74,2020-03-24,85.25
24,2020-03-25,KWVMOUND13,46.3,37.6,86,0.9,29.56,2020-03-25,62.18
25,2020-03-26,KWVMOUND13,47.1,34.9,83,0.8,29.56,2020-03-26,79.94
26,2020-03-27,KWVMOUND13,53.6,48.9,93,0.7,29.51,2020-03-27,78.58
27,2020-03-28,KWVMOUND13,68.3,50.9,81,2.4,29.47,2020-03-28,49.03
28,2020-03-29,KWVMOUND13,72.3,38.3,53,6.0,29.47,2020-03-29,51.33
29,2020-03-30,KWVMOUND13,52.9,26.6,52,4.3,29.63,2020-03-30,64.72
30,2020-03-31,KWVMOUND13,44.9,35.2,75,0.9,29.6,2020-03-31,73.04
31,2020-04-01,KWVMOUND13,45.7,31.1,87,0.8,29.56,2020-04-01,76.11
32,2020-04-02,KWVMOUND13,51.7,28.4,51,2.8,29.65,2020-04-02,83.01
33,2020-04-03,KWVMOUND13,55.8,19.9,39,2.6,29.6,2020-04-03,77.94
34,2020-04-04,KWVMOUND13,46.3,30.4,69,0.9,29.62,2020-04-04,52.45
35,2020-04-05,KWVMOUND13,52.8,39.6,76,0.6,29.65,2020-04-05,50.8
36,2020-04-06,KWVMOUND13,59.8,22.8,42,1.5,29.7,2020-04-06,78.7
37,2020-04-07,KWVMOUND13,53.9,35.4,73,0.6,29.53,2020-04-07,79.71
38,2020-04-08,KWVMOUND13,58.0,40.8,84,1.5,29.29,2020-04-08,67.2
39,2020-04-09,KWVMOUND13,49.1,23.4,65,4.3,29.24,2020-04-09,75.87
40,2020-04-10,KWVMOUND13,42.4,21.9,53,4.0,29.53,2020-04-10,80.06
41,2020-04-11,KWVMOUND13,46.0,26.4,55,1.9,29.6,2020-04-11,61.0
42,2020-04-12,KWVMOUND13,53.1,30.0,64,1.5,29.52,2020-04-12,37.64
43,2020-04-13,KWVMOUND13,54.6,32.0,76,3.2,29.67,2020-04-13,75.34
44,2020-04-14,KWVMOUND13,40.5,20.1,69,1.4,29.71,2020-04-14,75.81
45,2020-04-15,KWVMOUND13,43.7,21.2,58,3.2,29.68,2020-04-15,86.43
46,2020-04-16,KWVMOUND13,40.6,18.5,52,2.8,29.82,2020-04-16,76.99
47,2020-04-17,KWVMOUND13,40.2,24.3,80,0.9,29.83,2020-04-17,81.12
48,2020-04-18,KWVMOUND13,41.6,28.8,82,1.8,29.6,2020-04-18,75.69
49,2020-04-19,KWVMOUND13,44.8,30.2,67,1.7,29.52,2020-04-19,54.51
50,2020-04-20,KWVMOUND13,51.4,26.6,55,1.3,29.29,2020-04-20,81.77
51,2020-04-21,KWVMOUND13,49.8,18.1,53,3.4,29.53,2020-04-21,86.49
52,2020-04-22,KWVMOUND13,42.1,17.4,49,1.7,29.66,2020-04-22,83.01
53,2020-04-23,KWVMOUND13,51.8,25.5,65,1.2,29.54,2020-04-23,81.3
54,2020-04-24,KWVMOUND13,52.8,46.6,92,1.3,29.45,2020-04-24,94.4
